stationno,datetime,datetime,datetime
290,11,1926-03-21 12:00:00+00:00,1940-04-01 08:00:00+00:00
291,26,1929-01-21 16:00:00+00:00,1944-07-20 08:00:00+00:00
292,31,1927-06-20 08:00:00+00:00,1944-07-20 12:00:00+00:00
293,30,1930-02-23 08:00:00+00:00,1944-12-28 04:00:00+00:00
294,13,1929-03-15 12:00:00+00:00,1944-06-12 04:00:00+00:00
301,59,1930-07-29 12:00:00+00:00,1939-03-31 16:00:00+00:00
305,79,1930-07-02 16:00:00+00:00,1945-03-02 20:00:00+00:00
306,21,1936-11-15 16:00:00+00:00,1944-12-17 20:00:00+00:00
307,48,1936-11-24 12:00:00+00:00,1944-11-04 12:00:00+00:00
308,36,1934-05-25 08:00:00+00:00,1944-11-04 08:00:00+00:00
309,11,1931-09-28 16:00:00+00:00,1944-11-04 20:00:00+00:00
310,50,1926-03-28 08:00:00+00:00,1945-01-12 20:00:00+00:00
311,67,1926-02-04 12:00:00+00:00,1945-01-12 20:00:00+00:00
312,58,1926-02-04 08:00:00+00:00,1944-12-31 12:00:00+00:00
313,32,1931-02-08 16:00:00+00:00,1945-01-13 04:00:00+00:00
314,61,1932-11-12 08:00:00+00:00,1944-11-05 12:00:00+00:00
316,50,1928-10-07 16:00:00+00:00,1944-10-23 20:00:00+00:00
317,14804,1926-01-01 08:00:00+00:00,1945-06-25 12:00:00+00:00
318,3810,1926-01-08 12:00:00+00:00,1945-06-25 08:00:00+00:00
319,1759,1926-05-25 08:00:00+00:00,1945-04-10 08:00:00+00:00
320,507,1928-11-13 08:00:00+00:00,1945-03-26 20:00:00+00:00
321,205,1930-08-12 16:00:00+00:00,1945-03-14 08:00:00+00:00
322,148,1926-08-23 16:00:00+00:00,1945-03-26 16:00:00+00:00
323,156,1929-03-15 12:00:00+00:00,1945-06-24 16:00:00+00:00
324,111,1927-08-25 08:00:00+00:00,1945-03-05 16:00:00+00:00
325,121,1926-08-09 08:00:00+00:00,1945-01-21 08:00:00+00:00
326,100,1932-03-11 16:00:00+00:00,1945-05-02 16:00:00+00:00
327,73,1932-03-20 08:00:00+00:00,1945-06-19 16:00:00+00:00
328,103,1927-08-24 08:00:00+00:00,1945-06-05 12:00:00+00:00
329,80,1932-04-05 20:00:00+00:00,1945-07-07 08:00:00+00:00
330,78,1932-03-19 16:00:00+00:00,1945-06-11 08:00:00+00:00
331,115,1927-08-21 08:00:00+00:00,1945-06-11 16:00:00+00:00
332,110,1927-08-23 08:00:00+00:00,1945-06-02 16:00:00+00:00
333,84,1932-04-06 20:00:00+00:00,1945-06-02 08:00:00+00:00
334,82,1930-08-05 16:00:00+00:00,1945-05-31 16:00:00+00:00
335,74,1932-03-17 08:00:00+00:00,1945-06-21 12:00:00+00:00
336,72,1932-04-07 16:00:00+00:00,1945-06-21 16:00:00+00:00
337,72,1930-06-14 12:00:00+00:00,1945-05-29 12:00:00+00:00
338,95,1930-06-14 08:00:00+00:00,1945-05-19 08:00:00+00:00
339,66,1932-04-08 12:00:00+00:00,1945-04-15 20:00:00+00:00
340,68,1932-09-12 12:00:00+00:00,1945-07-31 20:00:00+00:00
341,47,1933-02-12 08:00:00+00:00,1945-02-27 12:00:00+00:00
342,80,1928-04-23 08:00:00+00:00,1945-02-27 12:00:00+00:00
343,132,1932-02-06 16:00:00+00:00,1945-02-25 20:00:00+00:00
344,77,1933-01-02 08:00:00+00:00,1945-07-10 16:00:00+00:00
345,92,1932-04-10 08:00:00+00:00,1945-08-29 08:00:00+00:00
346,114,1933-02-11 08:00:00+00:00,1945-07-11 08:00:00+00:00
347,77,1933-02-12 08:00:00+00:00,1945-05-26 08:00:00+00:00
348,42,1933-04-01 16:00:00+00:00,1945-06-09 08:00:00+00:00
349,55,1933-01-30 08:00:00+00:00,1945-07-18 12:00:00+00:00
350,64,1933-01-30 12:00:00+00:00,1945-07-27 08:00:00+00:00
351,80,1933-04-02 12:00:00+00:00,1945-07-25 12:00:00+00:00
352,81,1932-02-28 12:00:00+00:00,1945-07-17 08:00:00+00:00
353,120,1932-02-28 08:00:00+00:00,1945-07-16 20:00:00+00:00
354,125,1932-03-11 08:00:00+00:00,1945-07-13 16:00:00+00:00
355,90,1932-06-26 16:00:00+00:00,1945-05-27 08:00:00+00:00
356,75,1933-05-09 16:00:00+00:00,1945-05-29 04:00:00+00:00
357,79,1932-02-11 08:00:00+00:00,1945-03-28 16:00:00+00:00
358,91,1932-02-07 12:00:00+00:00,1945-06-24 20:00:00+00:00
359,81,1933-04-26 20:00:00+00:00,1945-08-12 08:00:00+00:00
360,143,1930-04-05 08:00:00+00:00,1945-03-31 16:00:00+00:00
361,82,1930-04-14 12:00:00+00:00,1945-03-31 12:00:00+00:00
362,109,1930-04-14 16:00:00+00:00,1944-12-31 04:00:00+00:00
363,136,1930-04-14 20:00:00+00:00,1945-05-17 16:00:00+00:00
364,157,1930-04-04 20:00:00+00:00,1945-02-11 20:00:00+00:00
365,211,1930-04-04 16:00:00+00:00,1945-01-23 16:00:00+00:00
366,117,1930-04-04 12:00:00+00:00,1945-07-06 16:00:00+00:00
367,79,1928-10-01 08:00:00+00:00,1945-07-06 08:00:00+00:00
368,75,1928-10-09 12:00:00+00:00,1945-06-12 08:00:00+00:00
369,60,1928-10-09 16:00:00+00:00,1945-05-21 12:00:00+00:00
370,88,1929-06-14 16:00:00+00:00,1945-08-17 16:00:00+00:00
371,142,1929-06-09 20:00:00+00:00,1945-02-16 12:00:00+00:00
372,83,1931-01-14 08:00:00+00:00,1945-02-16 08:00:00+00:00
373,200,1932-05-20 08:00:00+00:00,1945-06-23 16:00:00+00:00
374,142,1928-09-28 12:00:00+00:00,1945-06-26 08:00:00+00:00
375,112,1928-09-20 16:00:00+00:00,1945-01-04 16:00:00+00:00
376,96,1927-06-01 08:00:00+00:00,1945-01-15 04:00:00+00:00
377,91,1926-02-20 16:00:00+00:00,1944-12-22 20:00:00+00:00
378,103,1927-01-16 08:00:00+00:00,1945-03-12 04:00:00+00:00
379,68,1926-04-25 08:00:00+00:00,1945-01-18 20:00:00+00:00
380,141,1926-01-17 08:00:00+00:00,1945-06-29 12:00:00+00:00
381,33,1928-03-23 08:00:00+00:00,1945-03-03 16:00:00+00:00
382,28,1930-02-12 12:00:00+00:00,1945-03-15 12:00:00+00:00
383,35,1928-04-03 08:00:00+00:00,1945-03-24 16:00:00+00:00
387,29,1926-01-29 12:00:00+00:00,1939-05-10 12:00:00+00:00
388,34,1929-04-21 20:00:00+00:00,1939-05-10 08:00:00+00:00
393,20,1926-03-22 08:00:00+00:00,1944-07-20 16:00:00+00:00
394,22,1930-06-15 08:00:00+00:00,1944-12-28 08:00:00+00:00
395,17,1929-03-06 08:00:00+00:00,1944-12-28 12:00:00+00:00
396,36,1926-02-09 08:00:00+00:00,1944-12-28 16:00:00+00:00
397,12,1934-11-02 12:00:00+00:00,1944-06-11 16:00:00+00:00
401,173,1937-09-30 16:00:00+00:00,1945-02-14 20:00:00+00:00
403,30,1942-04-26 20:00:00+00:00,1945-02-22 20:00:00+00:00
405,35,1931-02-11 16:00:00+00:00,1945-07-08 12:00:00+00:00
407,39,1942-11-08 08:00:00+00:00,1944-06-02 16:00:00+00:00
408,928,1934-11-23 12:00:00+00:00,1944-11-04 16:00:00+00:00
409,77,1933-04-12 16:00:00+00:00,1945-07-09 08:00:00+00:00
410,67,1930-07-05 08:00:00+00:00,1944-12-18 12:00:00+00:00
411,41,1931-04-13 08:00:00+00:00,1944-10-27 12:00:00+00:00
412,88,1929-01-17 12:00:00+00:00,1944-11-03 20:00:00+00:00
413,72,1926-03-29 08:00:00+00:00,1945-01-13 08:00:00+00:00
414,52,1929-03-01 16:00:00+00:00,1945-01-13 12:00:00+00:00
415,35,1934-11-17 16:00:00+00:00,1945-01-11 16:00:00+00:00
416,33,1931-04-09 12:00:00+00:00,1945-01-13 04:00:00+00:00
417,103,1927-10-26 08:00:00+00:00,1945-04-09 16:00:00+00:00
418,22436,1926-01-08 16:00:00+00:00,1945-04-28 12:00:00+00:00
419,682,1928-11-11 08:00:00+00:00,1945-02-24 20:00:00+00:00
