,time,pressure,topside_temp,topside_temp_ADC,underside_temp,underside_temp_ADC,temp_ref,par,fluor,tilt,TTS,GPSLat,GPSLon,GPSDate,GPSTime,TTF,Max_Tilt,datetime
110,1544695888,0.025634765625,9.305016375607124,17524,-3.1910778385085905,32767,8487,71.2927397260274,-10.711297024,4,40,,,,,,,2018-12-13 10:11:28
111,1544697119,0.025634765625,9.473055184643442,17383,-3.1910778385085905,32767,8487,25.50876712328767,-10.711297024,5,40,,,,,,,2018-12-13 10:31:59
112,1544698360,0.025634765625,9.296713538957533,17531,-3.1910778385085905,32767,8487,25.043561643835616,-10.711297024,3,40,,,,,,,2018-12-13 10:52:40
113,1544699598,0.02593994140625,10.296729348864801,16710,-3.1910778385085905,32767,8487,80.3254794520548,-10.711297024,4,40,,,,,,,2018-12-13 11:13:18
114,1544701024,0.02532958984375,11.146674045146028,16046,-3.1910778385085905,32767,8487,116.86349315068493,-10.711297024,5,40,,,,,,,2018-12-13 11:37:04
115,1544702235,0.02532958984375,10.771985388830728,16335,-3.1910778385085905,32767,8487,76.39061643835616,-10.711297024,5,40,,,,,,,2018-12-13 11:57:15
116,1544703446,0.02532958984375,11.312409139402575,15920,-3.1910778385085905,32767,8487,92.65342465753425,-10.711297024,4,40,,,,,,,2018-12-13 12:17:26
118,1544555977,0.010986328125,8.96877774437479,17810,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,4,40,,,,,,,2018-12-11 19:19:37
119,1544557187,0.01129150390625,8.92107193270067,17851,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 19:39:47
120,1544558397,0.01220703125,8.49148888000525,18225,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,3,40,,,,,,,2018-12-11 19:59:57
121,1544559607,0.01312255859375,8.536959731571415,18185,-3.1910778385085905,32767,8487,0.05815068493150685,-10.711297024,2,40,,,,,,,2018-12-11 20:20:07
