,YR,MO,DY,HR,LAT,LON,SLP,AT,SST,DCK,SID,PT,UID,RN1,RN2,RN3,RSA,IRF
45626,1946,2,9.0,15.0,-60.7,318.3,995.1,-4.4,,204,91,5.0,0NCV84,3,1,0,2,1
45627,1946,2,9.0,23.0,-60.7,317.6,995.4,-2.8,,204,91,5.0,0NCVG7,3,1,0,2,1
45628,1946,2,10.0,,-61.4,32.5,977.0,2.2,,899,15,,0NCVGX,3,1,0,2,1
45629,1946,2,10.0,,-61.5,34.4,988.2,3.9,,899,15,,0NCVGY,3,1,0,2,1
45630,1946,2,10.0,,-61.6,314.3,969.9,-0.5,,899,15,,0NCVGZ,3,1,0,2,1
45631,1946,2,10.0,,-63.9,27.3,982.7,2.2,,899,15,,0NCVH1,3,1,0,2,1
45632,1946,2,10.0,,-64.5,27.1,980.7,1.1,,899,15,,0NCVH0,3,1,0,2,1
45633,1946,2,10.0,3.0,-60.2,320.1,994.8,-2.8,,204,91,5.0,0NCVLD,3,1,0,2,1
45634,1946,2,10.0,15.0,-61.0,317.5,995.5,-2.8,,204,91,5.0,0NCVXO,3,1,0,2,1
45635,1946,2,10.0,18.0,-64.9,296.6,,1.7,1.1,207,91,5.0,0NCW1I,3,1,0,2,1
45636,1946,2,10.0,23.0,-61.4,317.3,995.4,-0.6,,204,91,5.0,0NCW5B,3,1,0,2,1
45637,1946,2,11.0,,-61.8,35.0,993.6,3.9,,899,15,,0NCW63,3,1,0,2,1
45638,1946,2,11.0,,-61.8,313.8,962.4,1.1,,899,15,,0NCW64,3,1,0,2,1
45639,1946,2,11.0,,-61.9,32.1,983.0,,,899,15,,0NCW62,3,1,0,2,1
45640,1946,2,11.0,,-64.0,27.9,989.5,1.1,,899,15,,0NCW66,3,1,0,2,1
45641,1946,2,11.0,,-64.3,26.6,987.5,2.8,,899,15,,0NCW65,3,1,0,2,1
45642,1946,2,11.0,3.0,-60.9,317.1,995.3,-2.8,,204,91,5.0,0NCWAO,3,1,0,2,1
45643,1946,2,11.0,12.0,-64.2,297.1,,,1.7,207,91,5.0,0NCWKY,3,1,0,2,1
45644,1946,2,11.0,15.0,-61.2,316.5,986.2,1.1,,204,91,5.0,0NCWNI,3,1,0,2,1
45645,1946,2,11.0,23.0,-61.2,316.5,983.2,-0.6,,204,91,5.0,0NCWW3,3,1,0,2,1
45646,1946,2,12.0,,-61.7,35.2,1000.7,,,899,15,,0NCWWV,3,1,0,2,1
