time,IntegratedChlor_5t045,11m Prawler,24m Prawler,0m Eco,11m Eco,24m Eco,52m Eco
5/15/16 7:00,287.0548274,11.27009463,3.836943645,14.0192,11.1849,4.89939,0.904121
5/15/16 8:00,308.9606394,7.905481348,4.055711618,13.3648,10.4606,4.49293,1.15192
5/15/16 9:00,296.1557871,9.822175228,3.82331561,12.5858,11.1712,4.7701,1.0025
5/15/16 10:00,279.3148007,12.35297615,3.538458541,12.2718,10.1549,3.87606,0.70721
5/15/16 11:00,286.4371542,12.46499225,4.683477556,12.1943,9.95191,3.70544,0.605338
5/15/16 12:00,302.039963,11.72101762,6.334519536,11.3839,8.18236,6.00449,0.59185
5/15/16 13:00,385.4729264,15.63093064,7.684539973,10.6787,8.19841,6.76434,0.805075
5/15/16 14:00,476.5124425,20.06273606,9.000803503,10.4004,9.11024,9.41853,0.994842
5/15/16 15:00,506.0613908,16.12650005,11.00254454,11.2097,8.17535,16.6596,1.04389
5/15/16 16:00,522.1631582,10.36028311,13.15419052,7.47061,7.77348,14.7061,1.2257
5/15/16 17:00,514.6996116,11.86958951,12.06783763,3.25912,7.53771,23.5216,1.27041
5/15/16 18:00,499.8622259,15.65548505,9.968280244,1.99877,7.56317,11.0642,1.13662
5/15/16 19:00,432.1770413,18.34211531,8.56288386,1.74419,8.9884,11.8991,1.22204
5/15/16 20:00,357.2093998,20.87726618,7.253143258,1.39875,10.2279,9.34863,0.776729
5/15/16 21:00,320.8546366,19.20494336,6.552070622,1.3137,10.8821,7.81539,0.630662
5/15/16 22:00,295.390701,16.34589547,6.022673815,1.02085,11.2649,6.89022,0.622075
5/15/16 23:00,307.2912936,14.89892117,6.50086858,1.09886,10.8859,5.70684,0.84379
5/16/16 0:00,327.7516811,13.77543711,7.209891292,1.07357,10.3302,5.28876,0.867354
5/16/16 1:00,348.2120687,12.65195305,7.918914005,1.1278,9.78888,6.52578,1.77567
5/16/16 2:00,368.6724562,11.52846899,8.627936717,1.18714,9.22453,8.20453,1.88719
5/16/16 3:00,453.5194824,12.66588568,8.579220205,1.21049,9.87902,8.8854,1.65761
5/16/16 4:00,553.0357946,14.31840612,8.357867045,1.31271,10.0374,9.6313,2.26885
5/16/16 5:00,470.3952851,16.91276517,7.403117834,1.62447,8.9483,9.32304,1.53884
5/16/16 6:00,377.4358901,19.56047784,6.406822939,2.72855,8.21185,8.82179,0.772446
5/16/16 7:00,319.8756235,21.65650282,4.957823001,4.29589,9.85687,5.88425,0.509233
5/16/16 8:00,274.6096814,23.56092343,3.35159595,4.22787,10.203,4.08416,0.629173
5/16/16 9:00,297.2132227,24.22936111,3.307267334,3.86293,9.71534,4.61924,0.717083
5/16/16 10:00,331.7155517,24.6811079,3.536768677,3.60266,8.39851,4.41726,0.733346
5/16/16 11:00,294.544705,23.9051812,3.842270936,3.48224,9.03846,4.00791,0.512233
5/16/16 12:00,256.6701756,23.11720127,4.148519368,3.33856,9.13957,4.09304,0.836408
5/16/16 13:00,280.6889752,18.86229898,5.336759799,3.51211,9.05257,5.03746,1.87166
5/16/16 14:00,322.5339664,13.60887192,6.779026933,3.76883,8.37329,7.8384,2.68757
5/16/16 15:00,392.0784041,14.26686159,8.7306408,3.89296,7.27299,14.1107,2.17413
5/16/16 16:00,465.4099875,15.73307666,10.75189397,2.78116,7.29421,15.0206,2.09058
5/16/16 17:00,446.2159221,14.49564306,9.451379817,1.32956,7.3005,17.6987,1.9086
5/16/16 18:00,418.0258864,12.99534242,7.827900936,1.05795,5.80601,16.575,2.68263
5/16/16 19:00,446.7414578,15.63581057,9.82953445,0.735863,4.44808,12.4104,1.76927
5/16/16 20:00,477.1498895,18.39946067,11.93900987,0.549217,5.24167,13.7882,1.81616
5/16/16 21:00,467.4033879,21.95105672,9.157616211,0.458785,6.75531,8.84206,0.97539
5/16/16 22:00,455.4691713,25.54558152,6.109758975,0.47507,6.56357,5.73095,0.929256
5/16/16 23:00,401.7316854,26.25886292,5.183420243,0.471426,5.37782,6.09951,0.903549
5/17/16 0:00,343.0172961,26.62911685,4.509659664,0.433389,4.63094,5.00309,0.998256
5/17/16 1:00,341.4499196,26.71003415,4.801988528,0.539463,6.08637,5.13001,0.96633
